Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Battery,BAT_2481,-25.5,-12.25,0,bottom
C1,22μF,C_0603_1608Metric,18.1,0.3,0,top
C10,22μF,C_0603_1608Metric,15.5,5.8,90,top
C11,22μF,C_0603_1608Metric,32.73,-17.675,-90,top
C12,0.1uF,C_0402_1005Metric,3.7,23.9,90,top
C14,0.1uF,C_0402_1005Metric,-2,0.8,-90,top
C15,0.1uF,C_0402_1005Metric,-2,-1.1,90,top
C16,10μF,C_0805_2012Metric,-14.7,-18,90,top
C17,0.1μF,C_0402_1005Metric,-13.2,-17.7,90,top
C18,0.1μF,C_0402_1005Metric,-21.6,-17.8,90,top
C19,10μF,C_0805_2012Metric,-23.1,-18,90,top
C2,22uF,C_0603_1608Metric,21.125,-25.8,0,top
C3,0.1uF,C_0402_1005Metric,20.8,-24.6,0,top
C5,22μF,C_0603_1608Metric,3.4,26.4,90,top
C6,0.1μF,C_0402_1005Metric,4.7,26.8,90,top
C7,0.1uF,C_0402_1005Metric,0,15.5,180,top
C8,0.1uF,C_0402_1005Metric,-0.02,21.5,180,top
C9,10μF,C_0805_2012Metric,32.83,-22.05,90,top
D2,LESD5D5.0CT1G,D_SOD-523,12.3,-24.6,180,top
D3,LESD5D5.0CT1G,D_SOD-523,18.3,-25.8,180,top
D4,LESD5D5.0CT1G,D_SOD-523,15.7,-25.8,0,top
D5,SS54,D_SMA,14.6,-14.6,-90,top
D6,SS54,D_SMA,-20,-9,180,top
D7,SS54,D_SMA,20,-16.4,0,top
D8,SS54,D_SMA,30,0,0,top
J1,ENC/IO,1.41E+13,-30,15,90,top
J10,Conn_01x02,PTS_1.5_2,-20,-27.5,0,top
J11,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,17,-30.185,0,top
J12,Conn_01x02,PTS_1.5_2,3.5,-27.5,0,top
J2,SERVO,PinHeader_2x03_P2.54mm_Vertical_SMD,-2.7,-13,0,top
J3,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical_SMD,6.3,-13,0,top
J4,1.41E+13,1.40E+13,26.975,-8,-90,top
J5,Conn_01x05,PinHeader_1x05_P2.54mm_Vertical,-19.33,30,-90,top
J6,Conn_01x02,PTS_1.5_2,-9.5,-27.5,0,top
J7,ENC/IO,1.41E+13,-15,-1.5,0,top
J8,DAC,1.41E+13,-15,14,0,top
J9,ADC,1.41E+13,-15,23,0,top
L1,PWR,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,31.8,4,0,top
L2,IO2,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,31.8,7,0,top
L3,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,31.8,10,0,top
L4,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,31.8,13,0,top
Q1,NMOS,SOT-23F,19,-11.5,90,top
Q2,SS8050,SOT-23,-3.05,25.02,-90,top
Q3,SS8050,SOT-23,-3.05,19.02,90,top
R13,1.5k,R_0402_1005Metric,21.3,-21.6,0,top
R14,22.1k,R_0402_1005Metric,21.3,-23.6,0,top
R15,47.5k,R_0402_1005Metric,21.3,-22.6,180,top
R16,10k,R_0402_1005Metric,21.3,-20.6,180,top
R18,10k,R_0402_1005Metric,-4,22.02,-90,top
R19,10k,R_0402_1005Metric,-2.1,22.02,90,top
R20,5.1k,R_0402_1005Metric,13.4,-25.9,180,top
R21,10k,R_0402_1005Metric,4.7,24.91,-90,top
R22,10k,R_0402_1005Metric,13.5,5.8,90,top
R23,10k,R_0402_1005Metric,18.2,-13.8,180,top
R24,100,R_0402_1005Metric,20.2,-8.5,90,top
R25,5.1k,R_0402_1005Metric,22.9,-27.6,-90,top
R26,10k,R_0402_1005Metric,-10.8,-12.1,180,top
R27,10k,R_0402_1005Metric,2.6,-0.25,180,top
R28,10k,R_0402_1005Metric,2.6,0.75,180,top
R29,10k,R_0402_1005Metric,-8.8,-12.1,0,top
R30,10k,R_0402_1005Metric,-19.2,-12.1,180,top
R31,10k,R_0402_1005Metric,-17.2,-12.1,0,top
R32,10k,R_0402_1005Metric,-3,11,0,top
R4,470,R_0603_1608Metric,28,4,0,top
R5,1.5k,R_0603_1608Metric,28,7,0,top
R6,1.5k,R_0603_1608Metric,28,10,0,top
R7,1.5k,R_0603_1608Metric,28,13,0,top
SW2,SW_SPDT,SW_SS-12M11G5,-30.5,-9,-90,top
SW3,SW_Slide_DPDT,SSSS213202,8.5,5,0,top
SW4,SW_Push,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,1.9,13,0,top
SW6,SW_Push,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,1.9,19,0,top
U1,AMS1117-3.3,SOT-223-3_TabPin2,21,4.75,180,top
U2,CP2102N-A02-GQFN28,IC_CP2102N-A02-GQFN28R,16.75,-21.925,90,top
U3,TB67H450FNG_EL,HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.3x2.3mm,-10,-16.5,-180,top
U4,K7805M/M78AR05,M78AR,29.33,-19.94,90,top
U5,ESP32-WROOM-32E,ESP32-WROOM-32E,15,18.25,270,top
U7,BMI270,XDCR_BMI270,0,0,90,top
U8,TB67H450FNG_EL,HSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.3x2.3mm,-18.4,-16.5,-180,top
